;;;;;;;;;;;;;x
DIM_BEL_revolution_stelselwet_title;The Stelselwet\n(Tax Reform of 1821);;;;;;;;;;;;;x
DIM_BEL_revolution_stelselwet_desc;The Reformation and the Eighty Years War has caused the two regions of the kingdom to go their separate ways. Economically and culturally. The north flourished while the south languished. The Napoleonic War brought about a reversal of fortunes though, as the Royal Navy blockade and Continental System wiped out northern trade southern industries flourished. These industries are rapidly expanding and the region is flourishing. The north and trade on the other hand is yet to recover from the devastation, and it now languishes. However, while impoverished, the north is rich in capital used to finance governmental spending.\n\nKeeping this in mind, the issue at hands is the tax system. It dates to the Napoleonic Era, is cumbersome and inefficient. Various plans to reform it have been proposed, but none can satisfy the needs of both the north and the south. Which will be favoured under the new tax regime?;;;;;;;;;;;;;x
DIM_BEL_fonds_voor_nijverheid_title;The Fonds voor Nijverheid;;;;;;;;;;;;;x
DIM_BEL_fonds_voor_nijverheid_desc;The focus of the Stelselwet on stimulating northern trade has left a sour taste in the mouth of the southern MPs. In their eyes it is yet another indication that the north dominates the south, and no consideration is given to their needs. Both as a symbolic measure, as well as an actual attempt to satisfy southern needs, the Stelselwet included a provision for a 'Fund to Stimulate Industry' funded by the general fund.\n\nWhile official it is intended to support the south, significant leeway is given to direct the investment. Will the fund flow south, or will it find its way into different pockets?;;;;;;;;;;;;;x
DIM_NET_fonds_voor_het_koopmanschap_title;The Fonds voor het Koopmanschap;;;;;;;;;;;;;x
DIM_NET_fonds_voor_het_koopmanschap_desc;The focus of the Stelselwet on stimulating southern industry has let to a storm of protest from the northern populace. It is inconceivable to them that the southern papists would be so well catered for when the god fearing north continues to suffer hardship and poverty. To counter some of the grievances of the north, parliament quickly voted into law a governmental 'Fund to Stimulate Commerce,' aimed a stimulating northern trade.\n\nWhile official the fund is intended to support the north, the wording is imprecise and cumbersome, and much is left open to interpretation. Will the fund focus on the north, or will it instead be used for other purposes?;;;;;;;;;;;;;x
DIM_BEL_revolution_collegium_philosophicum_title;The Collegium Philosophicum;;;;;;;;;;;;;x
DIM_BEL_revolution_collegium_philosophicum_desc;Before the unification of the Netherlands, the Catholic Church had a position of privilege and priority in the Southern Netherlands. Whereas in the Northern Netherlands the Calvinistic faith held a similar position. Under our constitution however, all faiths are held equal and all can profess their faith in freedom. In practice, the matter is slightly more complicated as neither faith trusts the other. The Catholics in particularly seem unwilling to relinquish their postion. At least not without consent of the Pope. And herein lies the key: controlling the clergy mean controlling the Catholics. Currently all clergymen are educated at private seminars, and beyond our grasp. To strengthen out grip a plan has been proposed to close down all seminars and found a national one: the Collegium Philosophicum. Staffed by royalists and intended to create a new class of royalists clergy, it will help to wane the populace away from Rome and towards our rule.;;;;;;;;;;;;;x
DIM_BEL_revolution_collegium_philosophicum_failed_desc;In an effort to form a new cradle of royalist Catholic clergymen the the Collegium Philosophicum was founded, in the hopes that the clergy would educate the populace in a royalist manner. An ambitious undertaking the Collegium has a capacity of 1200 students per year, however so far only 162 students have attended the Collegium. Most parents prefer to sent their children abroad for an ecclesiastical education. A bill banning foreign educated clergymen from being ordained passed parliament to combat this, yet backfired as the clergy has now stopped ordaining those educated at the Collegium.\n\nA stalemate has thus developed, and we have to decided what to do.;;;;;;;;;;;;;x
DIM_BEL_revolution_press_issue_title;The Issue of Press Rights;;;;;;;;;;;;;x
DIM_BEL_revolution_press_issue_desc;Over the past few months, debates have been raging in southern intellectual circles about the nature of our printing press laws. Under the current laws, the writer is held accountable for any piece of work 'attacking public order.' In case the writer cannot be traced, the publisher is held accountable. However, there is no clear rule as it whether the publisher is accountable per se. In most judicial cases the publisher is held jointly accountable in any case. Some argue that the publisher is 'nothing but a blunt tool', and a tool cannot be held accountable for crimes of conscious. There are also those who argue that the publisher, as legal owner of the work hold full accountability for what they publish. Then there are those who argue that freedom of the press is only possible, if the publisher is not held accountable for the work he prints.\n With he argument set out, it is time to make a decision regarding the matter.;;;;;;;;;;;;;x
DIM_BEL_revolution_courrier_des_pays_bas_title;Courrier des Pays-Bas;;;;;;;;;;;;;x
DIM_BEL_revolution_courrier_des_pays_bas_desc;While previously an ally of the government due to our anti-clerical policies, the liberal newspaper the Courrier des Pays-Bas seems to have a had a change of heart recently. It has openly started attacking our governmental policies, and in not too kind of words. As one of the few newspapers not afraid to openly criticise the government, it has a unique draw on the young, the radical and the liberal. Main of their writers have seen the inside of our jails, but this has not diminished their militancy. In fact, it has only encouraged it. And it infamous reputation, combined with its inflammatory commentaries, has made it one of the most popular newspapers in the country with a circulation of 4000.;;;;;;;;;;;;;x
DIM_BEL_revolution_de_potter_trial_title;The Trial of Louis de Potter;;;;;;;;;;;;;x
DIM_BEL_revolution_de_potter_trial_desc;An sharp-tongued letter was recently published in a southern newspaper addressed to the king. In it the author, a certain Louis de Potter, quickly summarises the grievances of the people and the defects of our rule. This letter was quickly followed by another one restating the matter.\nThe local prosecutor did not take kindly to these letters, and had the author arrested and brought to trial. This trial is now quickly turning into a disaster for our government. The publicity awarded to de Potter has allowed to restate his points again to a larger audience. When the verdict was finally pronounced the audience responded with angry cheers. When learning of the verdict, the crowd outside started rioting and cheering 'Vive de Potter' and 'down with van Maanen.' The minister's appartments, which happened to be across from the courtroom, did not survive these riots unscathed.;;;;;;;;;;;;;x
DIM_BEL_revolution_lettre_demophile_au_roi_title;Lettre de Demophile au Roi;;;;;;;;;;;;;x
DIM_BEL_revolution_lettre_demophile_au_roi_desc;A letter from 'a friend of the people' addressed to the king has been published in the southern regions. Authored by Louis de Potter, the letter calls upon the king to restore the civil liberties enshrined in the constitution. If not, de Potter wars, 'the separation of North and South will be inevitable.' This follows shortly on a similar letter addressed to Pierre van Gobbelschroy, a prominent southern supporter of the king.;;;;;;;;;;;;;x
